category,batch,key,tests,pairedCompleted,baselineStatus,baselineReason,fspecStatus,fspecReason,baselineTotalRuntimeMs,fspecTotalRuntimeMs,baselineProjectedCG,fspecProjectedCG
cmdi,6,cmdi-b0006-4901ffc5cf,BenchmarkTest00171;BenchmarkTest00172,False,missing,process-timeout,missing,process-timeout,0,0,0,0
cmdi,7,cmdi-b0007-89735e0bb2,BenchmarkTest00173;BenchmarkTest00174,False,missing,process-timeout,excluded,flowdroid-oom+termination-2,0,5472716,0,34035
cmdi,8,cmdi-b0008-7784275c8f,BenchmarkTest00175;BenchmarkTest00176,False,missing,process-timeout,missing,process-timeout,0,0,0,0
cmdi,18,cmdi-b0018-142ad7c35e,BenchmarkTest00409;BenchmarkTest00410,False,missing,process-timeout,missing,process-timeout,0,0,0,0
cmdi,19,cmdi-b0019-01b65480c3,BenchmarkTest00411;BenchmarkTest00412,False,excluded,flowdroid-oom+termination-2,missing,process-timeout,4637792,0,38044,0
cmdi,30,cmdi-b0030-b8008ee1aa,BenchmarkTest00576;BenchmarkTest00657,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,6291553,7108948,37850,34022
cmdi,32,cmdi-b0032-0dfc7e2f85,BenchmarkTest00731;BenchmarkTest00732,False,excluded,flowdroid-oom+termination-2,missing,process-timeout,7138767,0,37743,0
cmdi,34,cmdi-b0034-2d878c526c,BenchmarkTest00740;BenchmarkTest00741,False,missing,process-timeout,missing,process-timeout,0,0,0,0
cmdi,35,cmdi-b0035-bc595be925,BenchmarkTest00742;BenchmarkTest00743,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,4195717,8558607,37830,34013
cmdi,37,cmdi-b0037-0736b28dea,BenchmarkTest00816;BenchmarkTest00823,False,excluded,flowdroid-oom+termination-2,missing,process-timeout,754766,0,37849,0
cmdi,38,cmdi-b0038-3dd96aa306,BenchmarkTest00824;BenchmarkTest00825,False,missing,process-timeout,excluded,flowdroid-oom+termination-2,0,10819007,0,34047
