category,batch,key,tests,pairedCompleted,baselineStatus,baselineReason,fspecStatus,fspecReason,baselineTotalRuntimeMs,fspecTotalRuntimeMs,baselineProjectedCG,fspecProjectedCG
cmdi,0,cmdi-b0000-3598d7f949,BenchmarkTest00006;BenchmarkTest00007,True,completed,,completed,,43377,75029,37843,34012
cmdi,1,cmdi-b0001-97590e9a6b,BenchmarkTest00015;BenchmarkTest00017,True,completed,,completed,,37682,73247,37850,33994
cmdi,2,cmdi-b0002-0b9fab8401,BenchmarkTest00051;BenchmarkTest00077,True,completed,,completed,,54345,86970,37772,33874
cmdi,3,cmdi-b0003-003e54ead7,BenchmarkTest00090;BenchmarkTest00091,True,completed,,completed,,50962,90357,37852,34021
cmdi,4,cmdi-b0004-d44c06b1cf,BenchmarkTest00092;BenchmarkTest00093,True,completed,,completed,,56362,88668,37859,34028
cmdi,5,cmdi-b0005-564f353d83,BenchmarkTest00158;BenchmarkTest00159,True,completed,,completed,,57626,101931,37793,33895
cmdi,6,cmdi-b0006-4901ffc5cf,BenchmarkTest00171;BenchmarkTest00172,False,missing,process-timeout,missing,process-timeout,0,0,0,0
cmdi,7,cmdi-b0007-89735e0bb2,BenchmarkTest00173;BenchmarkTest00174,False,missing,process-timeout,excluded,flowdroid-oom+termination-2,0,5472716,0,34035
cmdi,8,cmdi-b0008-7784275c8f,BenchmarkTest00175;BenchmarkTest00176,False,missing,process-timeout,missing,process-timeout,0,0,0,0
cmdi,9,cmdi-b0009-c23e070837,BenchmarkTest00177;BenchmarkTest00293,True,completed,,completed,,52243,87961,38050,34208
cmdi,10,cmdi-b0010-e639f34403,BenchmarkTest00294;BenchmarkTest00295,True,completed,,completed,,53814,84393,37773,33875
cmdi,11,cmdi-b0011-7cb12ba46f,BenchmarkTest00302;BenchmarkTest00303,True,completed,,completed,,55653,96253,38036,34192
cmdi,12,cmdi-b0012-164eab473f,BenchmarkTest00304;BenchmarkTest00305,True,completed,,completed,,50752,98581,38087,34245
cmdi,13,cmdi-b0013-15f118f643,BenchmarkTest00306;BenchmarkTest00307,True,completed,,completed,,52239,83629,37864,34034
cmdi,14,cmdi-b0014-7ccc76eee8,BenchmarkTest00308;BenchmarkTest00309,True,completed,,completed,,47307,96886,37861,34030
cmdi,15,cmdi-b0015-d22833cea8,BenchmarkTest00310;BenchmarkTest00311,True,completed,,completed,,45234,83898,37861,34031
cmdi,16,cmdi-b0016-1010183b78,BenchmarkTest00396;BenchmarkTest00406,True,completed,,completed,,52251,89831,37803,33960
cmdi,17,cmdi-b0017-64ba3d9472,BenchmarkTest00407;BenchmarkTest00408,True,completed,,completed,,51253,84641,37817,33988
cmdi,18,cmdi-b0018-142ad7c35e,BenchmarkTest00409;BenchmarkTest00410,False,missing,process-timeout,missing,process-timeout,0,0,0,0
cmdi,19,cmdi-b0019-01b65480c3,BenchmarkTest00411;BenchmarkTest00412,False,excluded,flowdroid-oom+termination-2,missing,process-timeout,4637792,0,38044,0
cmdi,20,cmdi-b0020-12bee36fe3,BenchmarkTest00480;BenchmarkTest00481,True,completed,,completed,,49924,79222,37745,33860
cmdi,21,cmdi-b0021-ce627b65df,BenchmarkTest00494;BenchmarkTest00495,True,completed,,completed,,49700,81325,37826,34008
cmdi,22,cmdi-b0022-7c783922ea,BenchmarkTest00496;BenchmarkTest00497,True,completed,,completed,,51055,84226,37988,34169
cmdi,23,cmdi-b0023-e8fc7783cd,BenchmarkTest00498;BenchmarkTest00499,True,completed,,completed,,45475,94264,38011,34193
cmdi,24,cmdi-b0024-791978f184,BenchmarkTest00500;BenchmarkTest00558,True,completed,,completed,,47577,85052,37831,34003
cmdi,25,cmdi-b0025-61e7bb1e1e,BenchmarkTest00559;BenchmarkTest00567,True,completed,,completed,,54073,85549,38048,34217
cmdi,26,cmdi-b0026-d94ccfe5cc,BenchmarkTest00568;BenchmarkTest00569,True,completed,,completed,,47176,92959,38044,34214
cmdi,27,cmdi-b0027-a6ef2d2132,BenchmarkTest00570;BenchmarkTest00571,True,completed,,completed,,44477,85957,37808,33991
cmdi,28,cmdi-b0028-c304bca59f,BenchmarkTest00572;BenchmarkTest00573,True,completed,,completed,,45337,93808,37819,34001
cmdi,29,cmdi-b0029-e44bbabca8,BenchmarkTest00574;BenchmarkTest00575,True,completed,,completed,,48123,93273,37828,34011
cmdi,30,cmdi-b0030-b8008ee1aa,BenchmarkTest00576;BenchmarkTest00657,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,6291553,7108948,37850,34022
cmdi,31,cmdi-b0031-37de7b56a5,BenchmarkTest00658;BenchmarkTest00659,True,completed,,completed,,48779,87346,37827,33999
cmdi,32,cmdi-b0032-0dfc7e2f85,BenchmarkTest00731;BenchmarkTest00732,False,excluded,flowdroid-oom+termination-2,missing,process-timeout,7138767,0,37743,0
cmdi,33,cmdi-b0033-f1cdb152fc,BenchmarkTest00738;BenchmarkTest00739,True,completed,,completed,,51134,87083,37811,33982
cmdi,34,cmdi-b0034-2d878c526c,BenchmarkTest00740;BenchmarkTest00741,False,missing,process-timeout,missing,process-timeout,0,0,0,0
cmdi,35,cmdi-b0035-bc595be925,BenchmarkTest00742;BenchmarkTest00743,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,4195717,8558607,37830,34013
cmdi,36,cmdi-b0036-1d39cb4378,BenchmarkTest00814;BenchmarkTest00815,True,completed,,completed,,51195,82306,37776,33878
cmdi,37,cmdi-b0037-0736b28dea,BenchmarkTest00816;BenchmarkTest00823,False,excluded,flowdroid-oom+termination-2,missing,process-timeout,754766,0,37849,0
cmdi,38,cmdi-b0038-3dd96aa306,BenchmarkTest00824;BenchmarkTest00825,False,missing,process-timeout,excluded,flowdroid-oom+termination-2,0,10819007,0,34047
cmdi,39,cmdi-b0039-21e0740f71,BenchmarkTest00826;BenchmarkTest00827,True,completed,,completed,,53526,83406,37865,34035
cmdi,40,cmdi-b0040-262789803b,BenchmarkTest00895;BenchmarkTest00896,True,completed,,completed,,46836,82920,37751,33866
cmdi,41,cmdi-b0041-55ab0b4f7f,BenchmarkTest00897;BenchmarkTest00905,True,completed,,completed,,50330,97134,37806,33963
cmdi,42,cmdi-b0042-4a1b6cc2c1,BenchmarkTest00906;BenchmarkTest00907,True,completed,,completed,,49016,82294,37998,34167
cmdi,43,cmdi-b0043-320210b53a,BenchmarkTest00908;BenchmarkTest00909,True,completed,,completed,,47994,90778,37807,33990
cmdi,44,cmdi-b0044-e037ad4caf,BenchmarkTest00910;BenchmarkTest00968,True,completed,,completed,,48419,82831,37863,34022
cmdi,45,cmdi-b0045-261f92b99e,BenchmarkTest00969;BenchmarkTest00970,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,484344,603914,38010,34124
cmdi,46,cmdi-b0046-e4d8726139,BenchmarkTest00978;BenchmarkTest00979,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,514872,652233,38084,34241
cmdi,47,cmdi-b0047-87caeb57e4,BenchmarkTest00980;BenchmarkTest00981,True,completed,,completed,,42009,88092,37861,34031
cmdi,48,cmdi-b0048-e949660ec8,BenchmarkTest00982;BenchmarkTest00983,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,4584625,891405,37854,34024
cmdi,49,cmdi-b0049-158ff26ccc,BenchmarkTest01064;BenchmarkTest01065,False,missing,process-timeout,excluded,flowdroid-oom+termination-2,0,10340449,0,34004
cmdi,50,cmdi-b0050-e3efed3a01,BenchmarkTest01066;BenchmarkTest01067,False,excluded,flowdroid-oom+termination-2,completed,,537602,173012,38045,34213
cmdi,51,cmdi-b0051-3fd38c9d34,BenchmarkTest01068;BenchmarkTest01182,True,completed,,completed,,48751,85381,37875,34034
cmdi,52,cmdi-b0052-9c47c764bb,BenchmarkTest01189;BenchmarkTest01190,True,completed,,completed,,44204,83898,37858,34027
cmdi,53,cmdi-b0053-0c0ada89fd,BenchmarkTest01191;BenchmarkTest01192,True,completed,,completed,,44761,80289,37862,34031
cmdi,54,cmdi-b0054-19c29b57e7,BenchmarkTest01193;BenchmarkTest01194,True,completed,,completed,,44822,84511,37866,34025
cmdi,55,cmdi-b0055-fc3747268c,BenchmarkTest01269;BenchmarkTest01270,True,completed,,completed,,52251,84546,37740,33855
cmdi,56,cmdi-b0056-d0562cd0ae,BenchmarkTest01285;BenchmarkTest01286,True,completed,,completed,,75001,147465,37831,33988
cmdi,57,cmdi-b0057-3352a26b11,BenchmarkTest01287;BenchmarkTest01288,False,missing,process-timeout,excluded,flowdroid-oom+termination-2,0,5629504,0,34185
cmdi,58,cmdi-b0058-3036880d83,BenchmarkTest01289;BenchmarkTest01290,True,completed,,completed,,45198,83036,37833,34015
cmdi,59,cmdi-b0059-542c5de7c9,BenchmarkTest01353;BenchmarkTest01360,True,completed,,completed,,48173,91013,37824,33981
cmdi,60,cmdi-b0060-02467292d4,BenchmarkTest01361;BenchmarkTest01362,True,completed,,completed,,44724,83389,37824,34007
cmdi,61,cmdi-b0061-3711cb1687,BenchmarkTest01363;BenchmarkTest01364,True,completed,,completed,,48856,79867,38002,34183
cmdi,62,cmdi-b0062-d0af7daf16,BenchmarkTest01365;BenchmarkTest01430,True,completed,,completed,,49142,82204,38014,34185
cmdi,63,cmdi-b0063-4f5ce03e49,BenchmarkTest01440;BenchmarkTest01441,True,completed,,completed,,40214,89274,37839,33996
cmdi,64,cmdi-b0064-7e2ea4880c,BenchmarkTest01442;BenchmarkTest01443,True,completed,,completed,,78287,142926,37829,34011
